,,** INSERIR SIGLAS OU PALAVRAS SEMPRE EM ORDEM ALFABÉTICA**,,,,
,,,,,,
SIGLA OU PALAVRA,DECODIFICAÇÃO EM INGLÊS,DECODIFICAÇÃO EM PORTUGUÊS,EXPLICAÇÃO ,FOTOS,VÍDEOS,LINKS
A,Alpha,Alfa,,,,
AAL,Above Aerodrome Level,Acima do Nível do Aeródromo,,,,
AAP,Additional Attendant Panel,Painel Adicional de Comissário,,,,
ABCU,Alternate Brake Control Unit,Unidade de Controle de Freio do Sistema Alternado,,,,
ABM,Abeam,Través,,,,
ABN,Aerodrome Beacon,Farol de Aeródromo,,,,
ABV,Above,Acima de,,,,
AC ,Altocumulus,Altocumulus,,,,
ACARS,Aircraft Communications Addressing and Reporting System,Sistems de Endereçamento e Reporte de Comunicações da Aeronave,,,,
ACAS,Airborne Collision Avoidance System,Sitema Anticolião de Bordo,,,,
ACC,Area Control Center,Centro de Controle de Área,,,,
ACFT,Aircraft,Aeronave ,,,,
ACK,Acknowledge,Notificação de Recebimento,,,,
ACN,Aircraft Classification Number,Número de Classificação de Aeronaves,,,,
ACP,Acceptance (message type designator),Aceitação (designador do tipo de mensagem),,,,
ACP,Area Call Panel,Painel de Chamada de Área de Comissário,,,,
ACP,N/A,Aeroclube do Paraná,,,,
ACPT,Accepted,Aceito,,,,
ACT,Active,Ativo,,,,
ACU,Air Conditioning Unit,Unidade de Ar Condicionado,,,,
AD,Aerodrome,Aeródromo,,,,
ADA,Advisory Area,Área com Prestação de Serviço de Assessoramento ,Classe F (Não opera no Brasil),,,
ADC,Aerodrome Chart,Carta de Aeródromo,,,,
ADDN,Addition or Additional,Adição ou Adicional,,,,
ADIRS,Air Data Inertial Reference System,Sistema de Referência de Dados do Ar e Inerciais,,,,
ADIRU,Air Data Inertial Reference Unit,Unidade de Referência de Dados do Ar e Inerciais,,,,
ADF,Automatic Direction-Finding Equipment,Equipamento Radiogoniométrico Automático,,,,
ADS-B,Automatic Dependent Surveillance - Broadcast,Vigilância Dependente Automática – Transmissão,,,,
ADS-C,Automatic Dependent Surveillance - Contract,Vigilância Dependente Automática – Contrato,,,,
AOC,Aeronautical Operation Control,Controle de Operação Aeronáutica,,,,
AOG,Aircraft On Ground,"Aeronave ""Groundeada""",Aeronave com item MEL reportado em condição NO-GO,,,
ADIZ,Air Defense Identification Zone,Zona de Identificação de Defesa Aérea,,,,
AFIL,Airborne Filled,Plano de Voo apresentado em voo,,,,
AFIS,Aerodrome Flight Information Service,Estação Prestadora de Serviço de Informação Aeronáutica de Aeródromo,Ver Rádio,,,
AFIZ,Aerodromo Flight Information Zone,Zona de Informação de Voo de Aeródromo ,Raio padrão de 27NM = 50 Km,,,
AFM,Aircraft Flight Manual ,Manual de Voo da Aeronave (fabricante),,,,
AGL,Above Ground Level,Acima do Nível do Solo,,,,
AIC,Aeronautical Information Communication,Comunicação de Informações Aeronáuticas,,,,
AIP,Aeronautical Informations Publication,Publicação de Informações Aeronáuticas,,,,
AIP BRASIL,Aeronautical Informations Publication - Brazil,Publicação de Informações Aeronáuticas do Brasil,,,,
AIRAC,Aeronautical Information Regulation and Control,Regulamentação e Controle de Informação Aeronáutica,         ,,,
AIREP,Air-report,Aeronotificação,,,,
AIS,Aeronautical Information Service,Serviço de Informações Aeronáuticas,,,,
AISWEB,Aeronautical Information Service - Website,Sítio Eletrônico do Serviço de Informações Aeronáuticas Brasileiras,,,,www.aisweb.decea.gov.br
ALERFA,Alert Phase,Fase de Alerta,,,,
ALS,Approach Lighting System,Sistema de Luzes de Aproximação,,,,
AMD,Amend or Amended ,Emendar ou Emendado,,,,
AMDT,Amendment,Emenda à AIP,,,,
AMSL,Above Mean Sea Level,Acima do Nível Médio do Mar,,,,
ANAC,N/A,Agência Nacional de Aviação Civil ,Brasil,,,
ANV,N/A,Aeronave,,,,
AOC,Aerodrome Obstacle chart,Carta de Obstáculos de Aeródromo,,,,
AOC,Aeronautical Operational Control,Controle Operacional Aeronáutico,,,,
AP ,Autopilot,Piloto Automático,,,,
APN,Apron,Pátio,,,,
APP,Approach Control,Controle de Aproximação,,,,
APR,April,Abril,,,,
